time union1 union2 union3
0.128, -64.4956, 51.6923, 54.3955
0.129, -64.4931, 51.6962, 54.39
0.13, -64.4905, 51.7, 54.3844
0.131, -64.488, 51.7039, 54.3788
0.132, -64.4854, 51.7079, 54.3731
0.133, -64.4828, 51.7118, 54.3675
0.134, -64.4803, 51.7158, 54.3619
0.135, -64.4777, 51.7197, 54.3562
0.136, -64.4752, 51.7237, 54.3506
0.137, -64.4726, 51.7277, 54.3449
0.138, -64.4701, 51.7317, 54.3393
0.139, -64.4675, 51.7357, 54.3336
0.14, -64.4649, 51.7398, 54.3279
0.141, -64.4624, 51.7438, 54.3222
0.142, -64.4598, 51.7479, 54.3166
0.143, -64.4573, 51.752, 54.3109
0.144, -64.4547, 51.7561, 54.3052
0.145, -64.4521, 51.7602, 54.2994
0.146, -64.4496, 51.7643, 54.2937
0.147, -64.447, 51.7685, 54.288
0.148, -64.4445, 51.7726, 54.2823
0.149, -64.4419, 51.7768, 54.2765
0.15, -64.4393, 51.781, 54.2708
0.151, -64.4368, 51.7852, 54.265
0.152, -64.4342, 51.7894, 54.2593
0.153, -64.4316, 51.7937, 54.2535
0.154, -64.4291, 51.7979, 54.2477
0.155, -64.4265, 51.8022, 54.2419
0.156, -64.4239, 51.8065, 54.2361
0.157, -64.4214, 51.8108, 54.2303
0.158, -64.4188, 51.8151, 54.2245
0.159, -64.4162, 51.8194, 54.2187
0.16, -64.4137, 51.8237, 54.2129
0.161, -64.4111, 51.8281, 54.2071
0.162, -64.4085, 51.8325, 54.2012
0.163, -64.406, 51.8369, 54.1954
0.164, -64.4034, 51.8413, 54.1895
0.165, -64.4008, 51.8457, 54.1837
0.166, -64.3983, 51.8501, 54.1778
0.167, -64.3957, 51.8546, 54.1719
0.168, -64.3931, 51.859, 54.1661
0.169, -64.3905, 51.8635, 54.1602
0.17, -64.388, 51.868, 54.1543
0.171, -64.3854, 51.8725, 54.1484
0.172, -64.3828, 51.877, 54.1425
0.173, -64.3802, 51.8816, 54.1366
0.174, -64.3777, 51.8861, 54.1306
0.175, -64.3751, 51.8907, 54.1247
0.176, -64.3725, 51.8953, 54.1188
0.177, -64.3699, 51.8999, 54.1128
0.178, -64.3674, 51.9045, 54.1069
0.179, -64.3648, 51.9091, 54.1009
0.18, -64.3622, 51.9138, 54.0949
