time, 	x, 	y, 	z
0, 7, 15, 7
0.001, 7, 15.001, 7
0.002, 7, 15.002, 7
0.003, 7, 15.003, 7.00001
0.004, 7, 15.004, 7.00002
0.005, 7, 15.005, 7.00002
0.006, 7, 15.006, 7.00004
0.007, 7, 15.007, 7.00005
0.008, 7, 15.008, 7.00006
0.009, 7, 15.009, 7.00008
0.01, 7, 15.01, 7.0001
0.011, 7, 15.011, 7.00012
0.012, 7, 15.012, 7.00014
0.013, 7, 15.013, 7.00017
0.014, 7, 15.014, 7.0002
0.015, 7, 15.015, 7.00023
0.016, 7, 15.016, 7.00026
0.017, 7, 15.017, 7.00029
0.018, 7, 15.018, 7.00032
0.019, 7, 15.019, 7.00036
0.02, 7, 15.02, 7.0004
0.021, 7, 15.021, 7.00044
0.022, 7, 15.022, 7.00048
0.023, 7, 15.023, 7.00053
0.024, 7, 15.024, 7.00058
0.025, 7, 15.025, 7.00063
0.026, 7, 15.026, 7.00068
0.027, 7, 15.027, 7.00073
0.028, 7, 15.028, 7.00078
0.029, 7, 15.029, 7.00084
0.03, 7, 15.03, 7.0009
0.031, 7, 15.031, 7.00096
0.032, 7, 15.032, 7.00102
0.033, 7, 15.033, 7.00109
0.034, 7, 15.034, 7.00116
0.035, 7, 15.035, 7.00122
0.036, 7, 15.036, 7.0013
0.037, 7, 15.037, 7.00137
0.038, 7, 15.038, 7.00144
0.039, 7, 15.039, 7.00152
0.04, 7, 15.04, 7.0016
0.041, 7, 15.041, 7.00168
0.042, 7, 15.042, 7.00176
0.043, 7, 15.043, 7.00185
0.044, 7, 15.044, 7.00194
0.045, 7, 15.045, 7.00203
0.046, 7, 15.046, 7.00212
0.047, 7, 15.047, 7.00221
0.048, 7, 15.048, 7.0023
0.049, 7, 15.049, 7.0024
0.05, 7, 15.05, 7.0025
0.051, 7, 15.051, 7.0026
0.052, 7, 15.052, 7.0027
0.053, 7, 15.053, 7.00281
0.054, 7, 15.054, 7.00292
0.055, 7, 15.055, 7.00303
0.056, 7, 15.056, 7.00314
0.057, 7, 15.057, 7.00325
0.058, 7, 15.058, 7.00336
0.059, 7, 15.059, 7.00348
0.06, 7, 15.06, 7.0036
0.061, 7, 15.061, 7.00372
0.062, 7, 15.062, 7.00384
0.0629999, 7, 15.063, 7.00397
0.064, 7, 15.064, 7.0041
0.065, 7, 15.065, 7.00422
0.066, 7, 15.066, 7.00436
0.067, 7, 15.067, 7.00449
0.068, 7, 15.068, 7.00462
0.069, 7, 15.069, 7.00476
0.07, 7, 15.07, 7.0049
0.071, 7, 15.071, 7.00504
0.072, 7, 15.072, 7.00518
0.073, 7, 15.073, 7.00533
0.074, 7, 15.074, 7.00548
0.075, 7, 15.075, 7.00562
0.076, 7, 15.076, 7.00578
0.077, 7, 15.077, 7.00593
0.078, 7, 15.078, 7.00608
0.079, 7, 15.079, 7.00624
0.08, 7, 15.08, 7.0064
0.081, 7, 15.081, 7.00656
0.082, 7, 15.082, 7.00672
0.083, 7, 15.083, 7.00689
0.084, 7, 15.084, 7.00706
0.085, 7, 15.085, 7.00723
0.086, 7, 15.086, 7.0074
0.087, 7, 15.087, 7.00757
0.088, 7, 15.088, 7.00774
0.089, 7, 15.089, 7.00792
0.09, 7, 15.09, 7.0081
0.091, 7, 15.091, 7.00828
0.092, 7, 15.092, 7.00846
0.093, 7, 15.093, 7.00865
0.094, 7, 15.094, 7.00884
0.095, 7, 15.095, 7.00903
0.096, 7, 15.096, 7.00922
0.097, 7, 15.097, 7.00941
0.098, 7, 15.098, 7.0096
0.099, 7, 15.099, 7.0098
0.1, 7, 15.1, 7.01
0.101, 7, 15.101, 7.0102
0.102, 7, 15.102, 7.0104
0.103, 7, 15.103, 7.01061
0.104, 7, 15.104, 7.01082
0.105, 7, 15.105, 7.01102
0.106, 7, 15.106, 7.01124
0.107, 7, 15.107, 7.01145
0.108, 7, 15.108, 7.01166
0.109, 7, 15.109, 7.01188
0.11, 7, 15.11, 7.0121
0.111, 7, 15.111, 7.01232
0.112, 7, 15.112, 7.01254
