time x y z
0, -nan, -nan, -nan
0.16, 9.53674e-07, 0, 1.43051e-06
0.161, 1.90735e-06, 9.53674e-07, 2.02656e-06
0.162, -1.90735e-06, -9.53674e-07, -2.98023e-06
0.163, -1.90735e-06, 0, -9.53674e-07
0.164, 9.53674e-07, 0, -1.3113e-06
0.165, -9.53674e-07, -9.53674e-07, -1.66893e-06
0.166, 0, 9.53674e-07, 8.34465e-07
0.167, 2.86102e-06, 9.53674e-07, 2.5034e-06
0.168, 0, 0, 2.38419e-07
0.169, 0, 0, 3.57628e-07
0.17, 0, 0, -1.78814e-06
0.171, -9.53674e-07, 0, -2.38419e-07
0.172, 9.53674e-07, 0, 3.69549e-06
0.173, -9.53674e-07, 0, -2.38419e-06
0.174, 9.53674e-07, 9.53674e-07, 2.6226e-06
0.175, 9.53674e-07, 0, 8.34465e-07
0.176, 0, 0, -4.76837e-07
0.177, -9.53674e-07, 0, -7.15256e-07
0.178, 9.53674e-07, 0, 8.34465e-07
0.179, -1.90735e-06, 9.53674e-07, -4.76837e-07
0.18, 9.53674e-07, -9.53674e-07, 2.14577e-06
0.181, -1.90735e-06, -9.53674e-07, -1.07288e-06
0.182, 9.53674e-07, 9.53674e-07, 1.19209e-07
0.183, -1.90735e-06, -9.53674e-07, -2.38419e-07
0.184, 1.90735e-06, 0, 3.69549e-06
0.185, 0, 0, -1.3113e-06
0.186, 0, 0, 2.38419e-07
0.187, -9.53674e-07, 9.53674e-07, 0
0.188, -1.90735e-06, 0, -3.57628e-07
0.189, 0, 0, -1.19209e-06
0.19, -9.53674e-07, 0, -2.38419e-06
0.191, -2.86102e-06, 0, -3.69549e-06
0.192, -1.90735e-06, -9.53674e-07, -1.07288e-06
0.193, 0, -9.53674e-07, -9.53674e-07
0.194, 9.53674e-07, 0, 7.15256e-07
0.195, 0, 0, -1.19209e-07
0.196, 9.53674e-07, -9.53674e-07, -3.57628e-07
0.197, 0, -9.53674e-07, 1.66893e-06
0.198, 1.90735e-06, 9.53674e-07, 3.33786e-06
0.199, 9.53674e-07, 9.53674e-07, -3.57628e-07
0.2, 9.53674e-07, 0, 1.3113e-06
0.201, -1.90735e-06, 0, -1.43051e-06
0.202, -1.90735e-06, -9.53674e-07, -2.14577e-06
0.203, 9.53674e-07, 0, 3.57628e-07
0.204, -2.86102e-06, 0, -1.3113e-06
0.205, 1.90735e-06, 0, 2.14577e-06
0.206, 1.90735e-06, 0, 9.53674e-07
0.207, 9.53674e-07, 0, 2.02656e-06
0.208, 0, -9.53674e-07, 1.78814e-06
0.209, 0, -9.53674e-07, -3.57628e-07
0.21, 9.53674e-07, 0, 3.57628e-06
0.211, -1.90735e-06, -9.53674e-07, 0
0.212, 0, -9.53674e-07, -3.57628e-07
0.213, 0, 0, 1.3113e-06
0.214, 0, 0, 1.54972e-06
0.215, -9.53674e-07, 0, 2.38419e-07
0.216, -9.53674e-07, 0, -1.43051e-06
0.217, -9.53674e-07, 0, -1.3113e-06
0.218, 3.8147e-06, 0, 4.17233e-06
0.219, -1.90735e-06, 9.53674e-07, -8.34465e-07
0.22, -9.53674e-07, 0, -2.38419e-07
0.221, 16.322, -0.0406799, -2.38419e-06
0.222, 16.322, -0.12418, -2.6226e-06
0.223, 16.322, -0.206961, 1.3113e-06
0.224, 16.322, -0.28902, 1.54972e-06
0.225, 16.322, -0.37034, 3.21865e-06
0.226, 16.322, -0.450981, 3.8147e-06
0.227, 16.322, -0.530941, 1.19209e-06
0.228, 16.322, -0.610201, 0
0.229, 16.322, -0.688779, 1.19209e-06
0.23, 16.322, -0.766701, 8.34465e-07
0.231, 16.322, -0.843961, 5.96046e-07
0.232, 16.322, -0.92056, 8.34465e-07
0.233, 16.322, -0.99654, 4.41074e-06
0.234, 16.322, -1.07188, 1.66893e-06
0.235, 16.322, -1.14658, -3.33786e-06
0.236, 16.322, -1.22068, 2.14577e-06
0.237, 16.322, -1.29418, -9.53674e-07
0.238, 16.322, -1.36706, 2.6226e-06
0.239, 16.322, -1.43934, 3.57628e-07
0.24, 16.322, -1.51106, -1.3113e-06
0.241, 16.322, -1.58218, -2.02656e-06
0.242, 16.322, -1.65274, 3.93391e-06
0.243, 16.322, -1.72272, -5.96046e-07
0.244, 16.322, -1.79216, 1.43051e-06
0.245, 16.322, -1.86104, 7.15256e-07
0.246, 16.322, -1.92938, -2.38419e-06
0.247, 16.322, -1.99718, 2.14577e-06
0.248, 16.322, -2.06446, 1.90735e-06
0.249, 16.322, -2.1312, 7.15256e-07
0.25, 16.322, -2.19742, 2.38419e-06
0.251, 16.322, -2.26314, 1.54972e-06
0.252, 16.322, -2.32834, 2.26498e-06
0.253, 16.322, -2.39304, -3.57628e-07
0.254, 16.322, -2.45726, -1.07288e-06
0.255, 16.322, -2.52098, -2.26498e-06
0.256, 16.322, -2.58422, -1.07288e-06
0.257, 16.322, -2.64698, 2.5034e-06
0.258, 16.322, -2.70928, -1.19209e-07
0.259, 16.322, -2.7711, -8.34465e-07
0.26, 16.322, -2.83248, -1.07288e-06
0.261, 16.322, -2.89338, 1.19209e-07
0.262, 16.322, -2.95384, 2.26498e-06
0.263, 16.322, -3.01386, -8.34465e-07
0.264, 16.322, -3.07344, -1.54972e-06
0.265, 16.322, -3.13258, 1.07288e-06
0.266, 16.322, -3.19128, -1.19209e-07
0.267, 16.322, -3.24956, 1.54972e-06
0.268, 16.322, -3.30744, 4.64916e-06
0.269, 16.322, -3.36488, 1.54972e-06
0.27, 16.322, -3.42192, 8.34465e-07
0.271, 16.322, -3.47854, -1.3113e-06
0.272, 16.322, -3.53478, -2.5034e-06
0.273, 16.322, -3.5906, 1.19209e-07
0.274, 16.322, -3.64604, 4.64916e-06
0.275, 16.322, -3.70108, 1.54972e-06
0.276, 16.322, -3.75576, 1.78814e-06
0.277, 16.322, -3.81004, 5.96046e-07
0.278, 16.322, -3.86394, 1.78814e-06
0.279, 16.322, -3.91748, 3.93391e-06
0.28, 16.322, -3.97064, -9.53674e-07
0.281, 16.322, -4.02344, 2.14577e-06
0.282, 16.322, -4.07588, 1.90735e-06
0.283, 16.322, -4.12796, 2.6226e-06
0.284, 16.322, -4.17968, 3.8147e-06
0.285, 16.322, -4.23106, 1.19209e-06
0.286, 16.322, -4.2821, -4.76837e-07
0.287, 16.322, -4.33278, -1.19209e-06
