time x y z
0, -nan, -nan, -nan
0.188, 7, 10.4508, 1.98824
0.189, 7, 10.3936, 1.98811
0.19, 7, 10.3369, 1.98799
0.191, 7, 10.2808, 1.98786
0.192, 7, 10.2252, 1.98773
0.193, 7, 10.1703, 1.98761
0.194, 7, 10.1159, 1.98748
0.195, 7, 10.062, 1.98735
0.196, 7, 10.0087, 1.98722
0.197, 7, 9.95591, 1.98709
0.198, 7, 9.90364, 1.98696
0.199, 7, 9.8519, 1.98683
0.2, 7, 9.80065, 1.98669
0.201, 7, 9.74991, 1.98656
0.202, 7, 9.69967, 1.98643
0.203, 7, 9.6499, 1.98629
0.204, 7, 9.60062, 1.98616
0.205, 7, 9.5518, 1.98602
0.206, 7, 9.50345, 1.98588
0.207, 7, 9.45556, 1.98575
0.208, 7, 9.40812, 1.98561
0.209, 7, 9.36113, 1.98547
0.21, 7, 9.31457, 1.98533
0.211, 7, 9.26844, 1.98519
0.212, 7, 9.22274, 1.98505
0.213, 7, 9.17746, 1.98491
0.214, 7, 9.1326, 1.98477
0.215, 7, 9.08814, 1.98463
0.216, 7, 9.04409, 1.98448
0.217, 7, 9.00043, 1.98434
0.218, 7, 8.95716, 1.9842
0.219, 7, 8.91428, 1.98405
0.22, 7, 8.87178, 1.98391
0.221, -9.322, 8.87034, 1.98376
0.222, -9.322, 8.91209, 1.98361
0.223, -9.322, 8.95348, 1.98346
0.224, -9.322, 8.99451, 1.98332
0.225, -9.322, 9.03517, 1.98317
0.226, -9.322, 9.07549, 1.98302
0.227, -9.322, 9.11547, 1.98287
0.228, -9.322, 9.1551, 1.98272
0.229, -9.322, 9.19439, 1.98257
0.23, -9.322, 9.23335, 1.98241
0.231, -9.322, 9.27198, 1.98226
0.232, -9.322, 9.31028, 1.98211
0.233, -9.322, 9.34827, 1.98195
0.234, -9.322, 9.38594, 1.9818
0.235, -9.322, 9.42329, 1.98164
0.236, -9.322, 9.46034, 1.98149
0.237, -9.322, 9.49709, 1.98133
0.238, -9.322, 9.53353, 1.98117
0.239, -9.322, 9.56967, 1.98101
0.24, -9.322, 9.60553, 1.98086
0.241, -9.322, 9.64109, 1.9807
0.242, -9.322, 9.67637, 1.98054
0.243, -9.322, 9.71136, 1.98038
0.244, -9.322, 9.74608, 1.98021
0.245, -9.322, 9.78052, 1.98005
0.246, -9.322, 9.81469, 1.97989
0.247, -9.322, 9.84859, 1.97973
0.248, -9.322, 9.88223, 1.97956
0.249, -9.322, 9.9156, 1.9794
0.25, -9.322, 9.94871, 1.97923
0.251, -9.322, 9.98157, 1.97907
0.252, -9.322, 10.0142, 1.9789
0.253, -9.322, 10.0465, 1.97873
0.254, -9.322, 10.0786, 1.97856
0.255, -9.322, 10.1105, 1.9784
0.256, -9.322, 10.1421, 1.97823
0.257, -9.322, 10.1735, 1.97806
0.258, -9.322, 10.2046, 1.97789
0.259, -9.322, 10.2356, 1.97771
0.26, -9.322, 10.2662, 1.97754
0.261, -9.322, 10.2967, 1.97737
0.262, -9.322, 10.3269, 1.9772
0.263, -9.322, 10.3569, 1.97702
0.264, -9.322, 10.3867, 1.97685
0.265, -9.322, 10.4163, 1.97667
0.266, -9.322, 10.4456, 1.9765
0.267, -9.322, 10.4748, 1.97632
0.268, -9.322, 10.5037, 1.97614
0.269, -9.322, 10.5324, 1.97597
0.27, -9.322, 10.561, 1.97579
0.271, -9.322, 10.5893, 1.97561
0.272, -9.322, 10.6174, 1.97543
0.273, -9.322, 10.6453, 1.97525
0.274, -9.322, 10.673, 1.97507
0.275, -9.322, 10.7005, 1.97489
0.276, -9.322, 10.7279, 1.9747
0.277, -9.322, 10.755, 1.97452
0.278, -9.322, 10.782, 1.97434
0.279, -9.322, 10.8087, 1.97415
0.28, -9.322, 10.8353, 1.97397
0.281, -9.322, 10.8617, 1.97378
0.282, -9.322, 10.8879, 1.9736
0.283, -9.322, 10.914, 1.97341
0.284, -9.322, 10.9398, 1.97322
0.285, -9.322, 10.9655, 1.97303
0.286, -9.322, 10.9911, 1.97285
0.287, -9.322, 11.0164, 1.97266
0.288, -9.322, 11.0416, 1.97247
0.289, -9.322, 11.0666, 1.97228
0.29, -9.322, 11.0914, 1.97208
0.291, -9.322, 11.1161, 1.97189
0.292, -9.322, 11.1406, 1.9717
0.293, -9.322, 11.165, 1.97151
0.294, -9.322, 11.1892, 1.97131
0.295, -9.322, 11.2132, 1.97112
0.296, -9.322, 11.2371, 1.97092
0.297, -9.322, 11.2608, 1.97073
0.298, -9.322, 11.2844, 1.97053
0.299, -9.322, 11.3078, 1.97033
0.3, -9.322, 11.3311, 1.97013
0.301, -9.322, 11.3542, 1.96994
0.302, -9.322, 11.3772, 1.96974
0.303, -9.322, 11.4, 1.96954
0.304, -9.322, 11.4227, 1.96934
0.305, -9.322, 11.4453, 1.96914
0.306, -9.322, 11.4677, 1.96893
0.307, -9.322, 11.4899, 1.96873
0.308, -9.322, 11.5121, 1.96853
0.309, -9.322, 11.5341, 1.96832
0.31, -9.322, 11.5559, 1.96812
0.311, -9.322, 11.5776, 1.96792
0.312, -9.322, 11.5992, 1.96771
0.313, -9.322, 11.6207, 1.9675
0.314, -9.322, 11.642, 1.9673
0.314999, -9.322, 11.6632, 1.96709
0.315999, -9.322, 11.6842, 1.96688
0.316999, -9.322, 11.7052, 1.96667
0.317999, -9.322, 11.726, 1.96646
0.318999, -9.322, 11.7467, 1.96625
0.319999, -9.322, 11.7673, 1.96604
0.320999, -9.322, 11.7877, 1.96583
0.321999, -9.322, 11.808, 1.96562
0.322999, -9.322, 11.8282, 1.9654
0.323999, -9.322, 11.8483, 1.96519
0.324999, -9.322, 11.8683, 1.96498
0.325999, -9.322, 11.8881, 1.96476
0.326999, -9.322, 11.9079, 1.96455
0.327999, -9.322, 11.9275, 1.96433
0.328999, -9.322, 11.947, 1.96411
0.329999, -9.322, 11.9664, 1.9639
0.330999, -9.322, 11.9857, 1.96368
0.331999, -9.322, 12.0049, 1.96346
0.332999, -9.322, 12.0239, 1.96324
0.333999, -9.322, 12.0429, 1.96302
0.334999, -9.322, 12.0617, 1.9628
0.335999, -9.322, 12.0805, 1.96258
0.336999, -9.322, 12.0991, 1.96236
0.337999, -9.322, 12.1176, 1.96214
0.338999, -9.322, 12.1361, 1.96191
0.339999, -9.322, 12.1544, 1.96169
0.340999, -9.322, 12.1726, 1.96146
0.341999, -9.322, 12.1907, 1.96124
0.342999, -9.322, 12.2087, 1.96101
0.343999, -9.322, 12.2266, 1.96079
0.344999, -9.322, 12.2445, 1.96056
0.345999, -9.322, 12.2622, 1.96033
0.346999, -9.322, 12.2798, 1.9601
0.347999, -9.322, 12.2974, 1.95988
0.348999, -9.322, 12.3148, 1.95965
0.349999, -9.322, 12.3321, 1.95942
0.350999, -9.322, 12.3494, 1.95919
0.351999, -9.322, 12.3666, 1.95895
0.352999, -9.322, 12.3836, 1.95872
0.353999, -9.322, 12.4006, 1.95849
0.354999, -9.322, 12.4175, 1.95826
0.355999, -9.322, 12.4343, 1.95802
0.356999, -9.322, 12.451, 1.95779
0.357999, -9.322, 12.4676, 1.95755
0.358999, -9.322, 12.4841, 1.95732
0.359999, -9.322, 12.5006, 1.95708
0.360999, -9.322, 12.5169, 1.95684
0.361999, -9.322, 12.5332, 1.9566
