time, 	x, 	y, 	z
0, 7, 0, 0
0.001, 7, 5e-07, 2.5e-10
0.002, 7, 2e-06, 2e-09
0.003, 7, 4.5e-06, 6.75e-09
0.004, 7, 8e-06, 1.6e-08
0.005, 7, 1.25e-05, 3.125e-08
0.006, 7, 1.8e-05, 5.4e-08
0.007, 7, 2.45e-05, 8.575e-08
0.008, 7, 3.2e-05, 1.28e-07
0.009, 7, 4.05e-05, 1.8225e-07
0.01, 7, 5e-05, 2.5e-07
0.011, 7, 6.05e-05, 3.3275e-07
0.012, 7, 7.2e-05, 4.32e-07
0.013, 7, 8.45e-05, 5.4925e-07
0.014, 7, 9.8e-05, 6.86e-07
0.015, 7, 0.0001125, 8.4375e-07
0.016, 7, 0.000128, 1.024e-06
0.017, 7, 0.0001445, 1.22825e-06
0.018, 7, 0.000162, 1.458e-06
0.019, 7, 0.0001805, 1.71475e-06
0.02, 7, 0.0002, 2e-06
0.021, 7, 0.0002205, 2.31525e-06
0.022, 7, 0.000242, 2.662e-06
0.023, 7, 0.0002645, 3.04175e-06
0.024, 7, 0.000288, 3.456e-06
0.025, 7, 0.0003125, 3.90625e-06
0.026, 7, 0.000338, 4.394e-06
0.027, 7, 0.0003645, 4.92075e-06
0.028, 7, 0.000392, 5.488e-06
0.029, 7, 0.0004205, 6.09725e-06
0.03, 7, 0.00045, 6.75e-06
0.031, 7, 0.0004805, 7.44775e-06
0.032, 7, 0.000512, 8.192e-06
0.033, 7, 0.0005445, 8.98425e-06
0.034, 7, 0.000578, 9.826e-06
0.035, 7, 0.0006125, 1.07187e-05
0.036, 7, 0.000648, 1.1664e-05
0.037, 7, 0.0006845, 1.26632e-05
0.038, 7, 0.000722, 1.3718e-05
0.039, 7, 0.0007605, 1.48297e-05
0.04, 7, 0.0008, 1.6e-05
0.041, 7, 0.000840499, 1.72302e-05
0.042, 7, 0.000881999, 1.8522e-05
0.043, 7, 0.000924499, 1.98767e-05
0.044, 7, 0.000967999, 2.1296e-05
0.045, 7, 0.0010125, 2.27812e-05
0.046, 7, 0.001058, 2.4334e-05
0.047, 7, 0.0011045, 2.59557e-05
0.048, 7, 0.001152, 2.7648e-05
0.049, 7, 0.0012005, 2.94122e-05
0.05, 7, 0.00125, 3.12499e-05
0.051, 7, 0.0013005, 3.31627e-05
0.052, 7, 0.001352, 3.51519e-05
0.053, 7, 0.0014045, 3.72192e-05
0.054, 7, 0.001458, 3.93659e-05
0.055, 7, 0.0015125, 4.15937e-05
0.056, 7, 0.001568, 4.39039e-05
0.057, 7, 0.0016245, 4.62982e-05
0.058, 7, 0.001682, 4.87779e-05
0.059, 7, 0.0017405, 5.13446e-05
0.06, 7, 0.0018, 5.39999e-05
0.061, 7, 0.0018605, 5.67451e-05
0.062, 7, 0.001922, 5.95819e-05
0.0629999, 7, 0.0019845, 6.25116e-05
