time, 	x, 	y, 	z
0, 7, 15, 7
0.001, 7.001, 15.001, 7.001
0.002, 7.002, 15.002, 7.002
0.003, 7.003, 15.003, 7.003
0.004, 7.004, 15.004, 7.004
0.005, 7.005, 15.005, 7.005
0.006, 7.006, 15.006, 7.006
0.007, 7.007, 15.007, 7.007
0.008, 7.008, 15.008, 7.008
0.009, 7.009, 15.009, 7.009
0.01, 7.01, 15.01, 7.01
0.011, 7.011, 15.011, 7.011
0.012, 7.012, 15.012, 7.012
0.013, 7.013, 15.013, 7.013
0.014, 7.014, 15.014, 7.014
0.015, 7.015, 15.015, 7.015
0.016, 7.016, 15.016, 7.016
0.017, 7.017, 15.017, 7.017
0.018, 7.018, 15.018, 7.018
0.019, 7.019, 15.019, 7.019
0.02, 7.02, 15.02, 7.02
0.021, 7.021, 15.021, 7.021
0.022, 7.022, 15.022, 7.022
0.023, 7.023, 15.023, 7.023
0.024, 7.024, 15.024, 7.024
0.025, 7.025, 15.025, 7.025
0.026, 7.026, 15.026, 7.026
0.027, 7.027, 15.027, 7.027
0.028, 7.028, 15.028, 7.028
0.029, 7.029, 15.029, 7.029
0.03, 7.03, 15.03, 7.03
0.031, 7.031, 15.031, 7.031
0.032, 7.032, 15.032, 7.032
0.033, 7.033, 15.033, 7.033
0.034, 7.034, 15.034, 7.034
0.035, 7.035, 15.035, 7.035
0.036, 7.036, 15.036, 7.036
0.037, 7.037, 15.037, 7.037
0.038, 7.038, 15.038, 7.038
0.039, 7.039, 15.039, 7.039
0.04, 7.04, 15.04, 7.04
0.041, 7.041, 15.041, 7.041
0.042, 7.042, 15.042, 7.042
0.043, 7.043, 15.043, 7.043
0.044, 7.044, 15.044, 7.044
0.045, 7.045, 15.045, 7.045
0.046, 7.046, 15.046, 7.046
0.047, 7.047, 15.047, 7.047
0.048, 7.048, 15.048, 7.048
0.049, 7.049, 15.049, 7.049
0.05, 7.05, 15.05, 7.05
0.051, 7.051, 15.051, 7.051
0.052, 7.052, 15.052, 7.052
0.053, 7.053, 15.053, 7.053
0.054, 7.054, 15.054, 7.054
0.055, 7.055, 15.055, 7.055
0.056, 7.056, 15.056, 7.056
0.057, 7.057, 15.057, 7.057
0.058, 7.058, 15.058, 7.058
0.059, 7.059, 15.059, 7.059
0.06, 7.06, 15.06, 7.06
0.061, 7.061, 15.061, 7.061
0.062, 7.062, 15.062, 7.062
0.0629999, 7.063, 15.063, 7.063
0.064, 7.064, 15.064, 7.064
0.065, 7.065, 15.065, 7.065
0.066, 7.066, 15.066, 7.066
0.067, 7.067, 15.067, 7.067
0.068, 7.068, 15.068, 7.068
0.069, 7.069, 15.069, 7.069
0.07, 7.07, 15.07, 7.07
0.071, 7.071, 15.071, 7.071
0.072, 7.072, 15.072, 7.072
0.073, 7.073, 15.073, 7.073
0.074, 7.074, 15.074, 7.074
0.075, 7.075, 15.075, 7.075
0.076, 7.076, 15.076, 7.076
0.077, 7.077, 15.077, 7.077
0.078, 7.078, 15.078, 7.078
0.079, 7.079, 15.079, 7.079
0.08, 7.08, 15.08, 7.08
0.081, 7.081, 15.081, 7.081
0.082, 7.082, 15.082, 7.082
0.083, 7.083, 15.083, 7.083
0.084, 7.084, 15.084, 7.084
0.085, 7.085, 15.085, 7.085
0.086, 7.086, 15.086, 7.086
0.087, 7.087, 15.087, 7.087
0.088, 7.088, 15.088, 7.088
0.089, 7.089, 15.089, 7.089
0.09, 7.09, 15.09, 7.09
0.091, 7.091, 15.091, 7.091
0.092, 7.092, 15.092, 7.092
0.093, 7.093, 15.093, 7.093
0.094, 7.094, 15.094, 7.094
0.095, 7.095, 15.095, 7.095
0.096, 7.096, 15.096, 7.096
0.097, 7.097, 15.097, 7.097
0.098, 7.098, 15.098, 7.098
0.099, 7.099, 15.099, 7.099
0.1, 7.1, 15.1, 7.1
0.101, 7.101, 15.101, 7.101
0.102, 7.102, 15.102, 7.102
0.103, 7.103, 15.103, 7.103
0.104, 7.104, 15.104, 7.104
0.105, 7.105, 15.105, 7.105
0.106, 7.106, 15.106, 7.106
0.107, 7.107, 15.107, 7.107
0.108, 7.108, 15.108, 7.108
0.109, 7.109, 15.109, 7.109
0.11, 7.11, 15.11, 7.11
0.111, 7.111, 15.111, 7.111
0.112, 7.112, 15.112, 7.112
0.113, 7.113, 15.113, 7.113
0.114, 7.114, 15.114, 7.114
0.115, 7.115, 15.115, 7.115
0.116, 7.116, 15.116, 7.116
0.117, 7.117, 15.117, 7.117
0.118, 7.118, 15.118, 7.118
0.119, 7.119, 15.119, 7.119
0.12, 7.12, 15.12, 7.12
0.121, 7.121, 15.121, 7.121
0.122, 7.122, 15.122, 7.122
0.123, 7.123, 15.123, 7.123
0.124, 7.124, 15.124, 7.124
0.125, 7.125, 15.125, 7.125
0.126, 7.126, 15.126, 7.126
0.127, 7.127, 15.127, 7.127
0.128, 7.128, 15.128, 7.128
0.129, 7.129, 15.129, 7.129
0.13, 7.13, 15.13, 7.13
0.131, 7.131, 15.131, 7.131
0.132, 7.132, 15.132, 7.132
0.133, 7.133, 15.133, 7.133
0.134, 7.134, 15.134, 7.134
0.135, 7.135, 15.135, 7.135
0.136, 7.136, 15.136, 7.136
0.137, 7.137, 15.137, 7.137
0.138, 7.138, 15.138, 7.138
0.139, 7.139, 15.139, 7.139
0.14, 7.14, 15.14, 7.14
0.141, 7.141, 15.141, 7.141
0.142, 7.142, 15.142, 7.142
0.143, 7.143, 15.143, 7.143
0.144, 7.144, 15.144, 7.144
0.145, 7.145, 15.145, 7.145
0.146, 7.146, 15.146, 7.146
0.147, 7.147, 15.147, 7.147
0.148, 7.148, 15.148, 7.148
0.149, 7.149, 15.149, 7.149
0.15, 7.15, 15.15, 7.15
0.151, 7.151, 15.151, 7.151
0.152, 7.152, 15.152, 7.152
0.153, 7.153, 15.153, 7.153
0.154, 7.154, 15.154, 7.154
0.155, 7.155, 15.155, 7.155
0.156, 7.156, 15.156, 7.156
0.157, 7.157, 15.157, 7.157
0.158, 7.158, 15.158, 7.158
0.159, 7.159, 15.159, 7.159
0.16, 7.16, 15.16, 7.16
0.161, 7.161, 15.161, 7.161
0.162, 7.162, 15.162, 7.162
0.163, 7.163, 15.163, 7.163
0.164, 7.164, 15.164, 7.164
0.165, 7.165, 15.165, 7.165
0.166, 7.166, 15.166, 7.166
0.167, 7.167, 15.167, 7.167
0.168, 7.168, 15.168, 7.168
0.169, 7.169, 15.169, 7.169
0.17, 7.17, 15.17, 7.17
0.171, 7.171, 15.171, 7.171
0.172, 7.172, 15.172, 7.172
0.173, 7.173, 15.173, 7.173
0.174, 7.174, 15.174, 7.174
0.175, 7.175, 15.175, 7.175
0.176, 7.176, 15.176, 7.176
0.177, 7.177, 15.177, 7.177
0.178, 7.178, 15.178, 7.178
0.179, 7.179, 15.179, 7.179
0.18, 7.18, 15.18, 7.18
0.181, 7.181, 15.181, 7.181
0.182, 7.182, 15.182, 7.182
0.183, 7.183, 15.183, 7.183
0.184, 7.184, 15.184, 7.184
0.185, 7.185, 15.185, 7.185
0.186, 7.186, 15.186, 7.186
0.187, 7.187, 15.187, 7.187
0.188, 7.188, 15.188, 7.188
0.189, 7.189, 15.189, 7.189
0.19, 7.19, 15.19, 7.19
0.191, 7.191, 15.191, 7.191
0.192, 7.192, 15.192, 7.192
0.193, 7.193, 15.193, 7.193
0.194, 7.194, 15.194, 7.194
0.195, 7.195, 15.195, 7.195
0.196, 7.196, 15.196, 7.196
0.197, 7.197, 15.197, 7.197
0.198, 7.198, 15.198, 7.198
0.199, 7.199, 15.199, 7.199
0.2, 7.2, 15.2, 7.2
0.201, 7.201, 15.201, 7.201
0.202, 7.202, 15.202, 7.202
0.203, 7.203, 15.203, 7.203
0.204, 7.204, 15.204, 7.204
0.205, 7.205, 15.205, 7.205
0.206, 7.206, 15.206, 7.206
0.207, 7.207, 15.207, 7.207
0.208, 7.208, 15.208, 7.208
0.209, 7.209, 15.209, 7.209
0.21, 7.21, 15.21, 7.21
0.211, 7.211, 15.211, 7.211
0.212, 7.212, 15.212, 7.212
0.213, 7.213, 15.213, 7.213
0.214, 7.214, 15.214, 7.214
0.215, 7.215, 15.215, 7.215
0.216, 7.216, 15.216, 7.216
0.217, 7.217, 15.217, 7.217
0.218, 7.218, 15.218, 7.218
0.219, 7.219, 15.219, 7.219
0.22, 7.22, 15.22, 7.22
0.221, 7.221, 15.221, 7.221
0.222, 7.222, 15.222, 7.222
0.223, 7.223, 15.223, 7.223
0.224, 7.224, 15.224, 7.224
0.225, 7.225, 15.225, 7.225
0.226, 7.226, 15.226, 7.226
0.227, 7.227, 15.227, 7.227
0.228, 7.228, 15.228, 7.228
0.229, 7.229, 15.229, 7.229
0.23, 7.23, 15.23, 7.23
0.231, 7.231, 15.231, 7.231
0.232, 7.232, 15.232, 7.232
0.233, 7.233, 15.233, 7.233
0.234, 7.234, 15.234, 7.234
0.235, 7.235, 15.235, 7.235
0.236, 7.236, 15.236, 7.236
0.237, 7.237, 15.237, 7.237
0.238, 7.238, 15.238, 7.238
0.239, 7.239, 15.239, 7.239
0.24, 7.24, 15.24, 7.24
0.241, 7.241, 15.241, 7.241
0.242, 7.242, 15.242, 7.242
0.243, 7.243, 15.243, 7.243
0.244, 7.244, 15.244, 7.244
0.245, 7.245, 15.245, 7.245
0.246, 7.246, 15.246, 7.246
0.247, 7.247, 15.247, 7.247
0.248, 7.248, 15.248, 7.248
0.249, 7.249, 15.249, 7.249
0.25, 7.25, 15.25, 7.25
0.251, 7.251, 15.251, 7.251
0.252, 7.252, 15.252, 7.252
0.253, 7.253, 15.253, 7.253
0.254, 7.254, 15.254, 7.254
0.255, 7.255, 15.255, 7.255
0.256, 7.256, 15.256, 7.256
0.257, 7.257, 15.257, 7.257
0.258, 7.258, 15.258, 7.258
0.259, 7.259, 15.259, 7.259
0.26, 7.26, 15.26, 7.26
0.261, 7.261, 15.261, 7.261
0.262, 7.262, 15.262, 7.262
0.263, 7.263, 15.263, 7.263
0.264, 7.264, 15.264, 7.264
0.265, 7.265, 15.265, 7.265
0.266, 7.266, 15.266, 7.266
0.267, 7.267, 15.267, 7.267
0.268, 7.268, 15.268, 7.268
0.269, 7.269, 15.269, 7.269
0.27, 7.27, 15.27, 7.27
0.271, 7.271, 15.271, 7.271
0.272, 7.272, 15.272, 7.272
0.273, 7.273, 15.273, 7.273
0.274, 7.274, 15.274, 7.274
0.275, 7.275, 15.275, 7.275
0.276, 7.276, 15.276, 7.276
0.277, 7.277, 15.277, 7.277
0.278, 7.278, 15.278, 7.278
0.279, 7.279, 15.279, 7.279
0.28, 7.28, 15.28, 7.28
0.281, 7.281, 15.281, 7.281
0.282, 7.282, 15.282, 7.282
0.283, 7.283, 15.283, 7.283
0.284, 7.284, 15.284, 7.284
0.285, 7.285, 15.285, 7.285
0.286, 7.286, 15.286, 7.286
0.287, 7.287, 15.287, 7.287
0.288, 7.288, 15.288, 7.288
0.289, 7.289, 15.289, 7.289
0.29, 7.29, 15.29, 7.29
0.291, 7.291, 15.291, 7.291
0.292, 7.292, 15.292, 7.292
0.293, 7.293, 15.293, 7.293
0.294, 7.294, 15.294, 7.294
0.295, 7.295, 15.295, 7.295
0.296, 7.296, 15.296, 7.296
0.297, 7.297, 15.297, 7.297
0.298, 7.298, 15.298, 7.298
0.299, 7.299, 15.299, 7.299
0.3, 7.3, 15.3, 7.3
0.301, 7.301, 15.301, 7.301
0.302, 7.302, 15.302, 7.302
0.303, 7.303, 15.303, 7.303
0.304, 7.304, 15.304, 7.304
0.305, 7.305, 15.305, 7.305
0.306, 7.306, 15.306, 7.306
0.307, 7.307, 15.307, 7.307
0.308, 7.308, 15.308, 7.308
0.309, 7.309, 15.309, 7.309
0.31, 7.31, 15.31, 7.31
0.311, 7.311, 15.311, 7.311
0.312, 7.312, 15.312, 7.312
0.313, 7.313, 15.313, 7.313
0.314, 7.314, 15.314, 7.314
0.314999, 7.315, 15.315, 7.315
0.315999, 7.316, 15.316, 7.316
0.316999, 7.317, 15.317, 7.317
0.317999, 7.318, 15.318, 7.318
0.318999, 7.319, 15.319, 7.319
0.319999, 7.32, 15.32, 7.32
0.320999, 7.321, 15.321, 7.321
0.321999, 7.322, 15.322, 7.322
0.322999, 7.323, 15.323, 7.323
0.323999, 7.324, 15.324, 7.324
0.324999, 7.325, 15.325, 7.325
0.325999, 7.326, 15.326, 7.326
0.326999, 7.327, 15.327, 7.327
0.327999, 7.328, 15.328, 7.328
0.328999, 7.329, 15.329, 7.329
0.329999, 7.33, 15.33, 7.33
0.330999, 7.331, 15.331, 7.331
0.331999, 7.332, 15.332, 7.332
0.332999, 7.333, 15.333, 7.333
